# ----------------------------------------
# Relatório do painel
# ----------------------------------------
# Usuários ativos


# Principais eventos de conversão


# Engajamento diário do usuário
# Data de início: 20200606
# Data de término: 20200703
Caminho da página e classe da tela,Envolvimento do usuário,Tempo médio de engajamento
Moto Z2,1
NX569H,1
NX573J,1
Nexus 6P,1
Note 1LTE,1
ONETOUCH POP 7 LTE,1
One Hyper,1
One Power,1
P00I,1
P00J,1
P10,1
P1a42,1
P5526A,1
PGN528,1
POT-LX1,1
PRA-LX1,1
PRA-LX2,1
Pearl K2,1
Phantom6,1
Phone 2,1
Pixel C,1
Primo R6 Max,1
Primo RX7 Mini,1
Pure 3S,1
Q710AL,1
QS5509A,1
QTAQZ3,1
QTAXIA1,1
R7kf,1
R8106,1
R831K,1
RCT6K03W13,1
RIO-L02,1
RMX1801,1
RMX1827,1
RMX1992,1
RMX2001,1
RNE-L03,1
Redmi 3X,1
Redmi K20,1
Redmi Note 9 Pro,1
Redmi Note 9S,1
Redmi Y1 Lite,1
S0-04G,1
S11,1
S3 Pro,1
S55,1
S580,1
S6s,1
SC-02F,1
SC-04L,1
SCH-I435,1
SCH-I535,1
SCH-R890,1
SCL-L21,1
SCV38,1
SGH-T769,1
SGP321,1
SH-01K,1
SH-01L,1
SH-02E,1
SH-02M,1
SH-04E,1
SH-04L,1
SH-A01,1
SHV45,1
SKR-A0,1
SLA-L03,1
SM-A015F,1
SM-A105FN,1
SM-A202F,1
SM-A205U1,1
SM-A205YN,1
SM-A260F,1
SM-A300M,1
SM-A307GT,1
SM-A5000,1
SM-A500K,1
SM-A500M,1
SM-A505GN,1
SM-A505W,1
SM-A530W,1
SM-A600A,1
SM-A600T1,1
SM-A605FN,1
SM-A606Y,1
SM-A700FD,1
SM-A720S,1
SM-A750C,1
SM-A750G,1
SM-A910F,1
SM-C5000,1
SM-C701F,1
SM-G313HZ,1
SM-G318H,1
SM-G386T1,1
SM-G390Y,1
SM-G530FZ,1
SM-G530R4,1
SM-G5520,1
SM-G900F,1
SM-G900H,1
SM-G900I,1
SM-G900R4,1
SM-G900V,1
SM-G900W8,1
SM-G920A,1
SM-G920P,1
SM-G920R4,1
SM-G920T,1
SM-G9287C,1
